Ім'я Фамілія 1,Ім'я Фамілія 2,Результат 1,Результат 2,Турнір,Дата,Стадія,Дисципліна
Роман Качур,Стефанія Церковник,4,0,Чемпіонат м.Ужгород 2024 | вільна піраміда | на підтримку ЗСУ |,2024-06-29,group,FREE_PYRAMID
Юрій Леміш,Сергій Король,2,4,Чемпіонат м.Ужгород 2024 | вільна піраміда | на підтримку ЗСУ |,2024-06-29,group,FREE_PYRAMID
Артур Зелінко,Олександр Грін,4,1,Чемпіонат м.Ужгород 2024 | вільна піраміда | на підтримку ЗСУ |,2024-06-29,group,FREE_PYRAMID
Юрій Леміш,Олександр Грін,3,4,Чемпіонат м.Ужгород 2024 | вільна піраміда | на підтримку ЗСУ |,2024-06-29,group,FREE_PYRAMID
Сергій Король,Артур Зелінко,1,4,Чемпіонат м.Ужгород 2024 | вільна піраміда | на підтримку ЗСУ |,2024-06-29,group,FREE_PYRAMID
Юрій Леміш,Артур Зелінко,2,4,Чемпіонат м.Ужгород 2024 | вільна піраміда | на підтримку ЗСУ |,2024-06-29,group,FREE_PYRAMID
Олександр Грін,Сергій Король,1,4,Чемпіонат м.Ужгород 2024 | вільна піраміда | на підтримку ЗСУ |,2024-06-29,group,FREE_PYRAMID
Артур Зелінко,Євген Драгула,5,4,Чемпіонат м.Ужгород 2024 | вільна піраміда | на підтримку ЗСУ |,2024-06-29,final,FREE_PYRAMID
Роман Качур,Артур Зелінко,2,4,Чемпіонат м.Ужгород 2024 | вільна піраміда | на підтримку ЗСУ |,2024-06-29,semifinal,FREE_PYRAMID
Євген Драгула,Володимир Коротя,4,2,Чемпіонат м.Ужгород 2024 | вільна піраміда | на підтримку ЗСУ |,2024-06-29,semifinal,FREE_PYRAMID
Роман Качур,Сергій Король,4,3,Чемпіонат м.Ужгород 2024 | вільна піраміда | на підтримку ЗСУ |,2024-06-29,quarterfinal,FREE_PYRAMID
Артур Зелінко,Володимир Шикітка,4,2,Чемпіонат м.Ужгород 2024 | вільна піраміда | на підтримку ЗСУ |,2024-06-29,quarterfinal,FREE_PYRAMID
