Ім'я Фамілія 1,Ім'я Фамілія 2,Результат 1,Результат 2,Турнір,Дата,Стадія,Дисципліна
Євген Кравчак,Віктор Дейнеко,0,2,Buffalo game 2025 клубна ліга 3 тур,2025-10-11,group,
Володимир Коротя,Іван Пелінкевич,1,2,Buffalo game 2025 клубна ліга 3 тур,2025-10-11,group,
Роман Чийпеш,Віктор Дейнеко,1,2,Buffalo game 2025 клубна ліга 3 тур,2025-10-11,group,
Євген Кравчак,Михайло Сличко,2,0,Buffalo game 2025 клубна ліга 3 тур,2025-10-11,group,
Володимир Коротя,Віктор Дейнеко,2,0,Buffalo game 2025 клубна ліга 3 тур,2025-10-11,group,
Роман Чийпеш,Михайло Сличко,2,0,Buffalo game 2025 клубна ліга 3 тур,2025-10-11,group,
Олексій Бамбушкар,Євген Кравчак,2,1,Buffalo game 2025 клубна ліга 3 тур,2025-10-11,group,
Віктор Дейнеко,Михайло Сличко,0,2,Buffalo game 2025 клубна ліга 3 тур,2025-10-11,group,
Іван Пелінкевич,Євген Кравчак,1,2,Buffalo game 2025 клубна ліга 3 тур,2025-10-11,group,
Роман Чийпеш,Олексій Бамбушкар,1,2,Buffalo game 2025 клубна ліга 3 тур,2025-10-11,group,
Олександр Грін,Іван Пелінкевич,1,3,Buffalo game 2025 клубна ліга 3 тур,2025-10-11,final,
Володимир Коротя,Олександр Грін,2,3,Buffalo game 2025 клубна ліга 3 тур,2025-10-11,semifinal,
Іван Пелінкевич,Роман Чийпеш,3,1,Buffalo game 2025 клубна ліга 3 тур,2025-10-11,semifinal,
Володимир Коротя,Стефанія Церковник,3,0,Buffalo game 2025 клубна ліга 3 тур,2025-10-11,quarterfinal,
Олександр Грін,Віктор Дейнеко,3,1,Buffalo game 2025 клубна ліга 3 тур,2025-10-11,quarterfinal,
Олексій Проскурін,Іван Пелінкевич,2,3,Buffalo game 2025 клубна ліга 3 тур,2025-10-11,quarterfinal,
Роман Чийпеш,Євген Драгула,3,1,Buffalo game 2025 клубна ліга 3 тур,2025-10-11,quarterfinal,
Іван Пелінкевич,Микола Шикітка,2,4,Buffalo Game 2025 клубна ліга 4 тур,2025-10-25,final,
Максим Росул,Іван Пелінкевич,3,4,Buffalo Game 2025 клубна ліга 4 тур,2025-10-25,semifinal,
Володимир Коротя,Микола Шикітка,1,4,Buffalo Game 2025 клубна ліга 4 тур,2025-10-25,semifinal,
Роман Качур,Максим Росул,3,4,Buffalo Game 2025 клубна ліга 4 тур,2025-10-25,quarterfinal,
Іван Пелінкевич,"Мар""ян Матіїшин",4,3,Buffalo Game 2025 клубна ліга 4 тур,2025-10-25,quarterfinal,
Артур Зелінко,Володимир Коротя,0,4,Buffalo Game 2025 клубна ліга 4 тур,2025-10-25,quarterfinal,
Микола Шикітка,Віктор Дейнеко,4,2,Buffalo Game 2025 клубна ліга 4 тур,2025-10-25,quarterfinal,
Роман Качур,"Мар""ян Матіїшин",4,0,Buffalo Game 2025 клубна ліга 4 тур,2025-10-25,group,
Євген Кравчак,Володимир Таранчук,4,1,Buffalo Game 2025 клубна ліга 4 тур,2025-10-25,group,
Іван Пелінкевич,Максим Росул,4,3,Buffalo Game 2025 клубна ліга 4 тур,2025-10-25,group,
Артур Зелінко,Віктор Дейнеко,4,2,Buffalo Game 2025 клубна ліга 4 тур,2025-10-25,group,
Олександр Шевелюк,Олексій Проскурін,4,2,Buffalo Game 2025 клубна ліга 4 тур,2025-10-25,group,
Олександр Грін,Іван Смочков,4,1,Buffalo Game 2025 клубна ліга 4 тур,2025-10-25,group,
Олександр Кодриш,Микола Шикітка,0,4,Buffalo Game 2025 клубна ліга 4 тур,2025-10-25,group,
Володимир Коротя,Роман Качур,0,4,Buffalo Game 2025 клубна ліга 4 тур,2025-10-25,group,
Євген Кравчак,Іван Пелінкевич,0,4,Buffalo Game 2025 клубна ліга 4 тур,2025-10-25,group,
Артур Зелінко,Олександр Шевелюк,4,2,Buffalo Game 2025 клубна ліга 4 тур,2025-10-25,group,
Олександр Грін,Микола Шикітка,1,4,Buffalo Game 2025 клубна ліга 4 тур,2025-10-25,group,
Володимир Таранчук,Максим Росул,1,3,Buffalo Game 2025 клубна ліга 4 тур,2025-10-25,group,
Віктор Дейнеко,Олексій Проскурін,3,2,Buffalo Game 2025 клубна ліга 4 тур,2025-10-25,group,
Іван Смочков,Олександр Кодриш,3,2,Buffalo Game 2025 клубна ліга 4 тур,2025-10-25,group,
"Мар""ян Матіїшин",Олександр Грін,3,2,Buffalo Game 2025 клубна ліга 4 тур,2025-10-25,group,
Максим Росул,Олександр Шевелюк,3,1,Buffalo Game 2025 клубна ліга 4 тур,2025-10-25,group,
Віктор Дейнеко,Євген Кравчак,3,1,Buffalo Game 2025 клубна ліга 4 тур,2025-10-25,group,
Іван Смочков,Володимир Коротя,0,3,Buffalo Game 2025 клубна ліга 4 тур,2025-10-25,group,
Стефанія Церковник,Максим Росул,1,3,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Віктор Дейнеко,Олексій Бамбушкар,3,2,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Сергій Король,Роман Церковник,3,1,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Стефанія Церковник,Олексій Бамбушкар,3,2,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Максим Росул,Роман Церковник,3,0,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Віктор Дейнеко,Сергій Король,1,3,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Стефанія Церковник,Роман Церковник,3,0,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Олексій Бамбушкар,Сергій Король,2,3,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Максим Росул,Віктор Дейнеко,2,3,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Стефанія Церковник,Сергій Король,0,3,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Роман Церковник,Віктор Дейнеко,1,3,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Олексій Бамбушкар,Максим Росул,0,3,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Стефанія Церковник,Віктор Дейнеко,3,0,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Сергій Король,Максим Росул,0,3,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Роман Церковник,Олексій Бамбушкар,3,1,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Артур Зелінко,Євген Кравчак,3,2,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Віталій Мельзаковський,"Мар""ян Матіїшин",3,2,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Володимир Таранчук,Іван Смочков,3,0,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Артур Зелінко,"Мар""ян Матіїшин",3,0,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Євген Кравчак,Іван Смочков,2,3,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Віталій Мельзаковський,Володимир Таранчук,3,2,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Артур Зелінко,Іван Смочков,3,0,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
"Мар""ян Матіїшин",Володимир Таранчук,3,2,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Євген Кравчак,Віталій Мельзаковський,2,3,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Артур Зелінко,Володимир Таранчук,3,0,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Іван Смочков,Віталій Мельзаковський,1,3,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
"Мар""ян Матіїшин",Євген Кравчак,3,1,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Артур Зелінко,Віталій Мельзаковський,3,1,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Володимир Таранчук,Євген Кравчак,3,2,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Іван Смочков,"Мар""ян Матіїшин",0,3,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Микола Шикітка,Олексій Проскурін,3,0,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Олександр Шевелюк,Володимир Шикітка,3,2,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Микола Шикітка,Микола Леміш,0,3,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Олексій Проскурін,Володимир Шикітка,3,0,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Микола Шикітка,Володимир Шикітка,3,2,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Микола Леміш,Олександр Шевелюк,3,0,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Микола Шикітка,Олександр Шевелюк,3,1,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Микола Леміш,Олексій Проскурін,3,0,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Олександр Шевелюк,Олексій Проскурін,3,2,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Володимир Шикітка,Микола Леміш,1,3,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Володимир Коротя,Олександр Грін,3,2,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Віктор Загуменний,Андрій Синичка,0,3,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Володимир Коротя,Марія Левківська,0,3,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Олександр Грін,Андрій Синичка,2,3,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Володимир Коротя,Андрій Синичка,3,2,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Марія Левківська,Віктор Загуменний,3,1,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Володимир Коротя,Віктор Загуменний,3,0,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Марія Левківська,Олександр Грін,3,0,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Віктор Загуменний,Олександр Грін,1,3,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Андрій Синичка,Марія Левківська,0,3,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,group,DYNAMIC_PYRAMID
Володимир Коротя,Микола Шикітка,2,4,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,final,DYNAMIC_PYRAMID
Володимир Коротя,Максим Росул,3,0,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,semifinal,DYNAMIC_PYRAMID
Артур Зелінко,Микола Шикітка,2,3,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,semifinal,DYNAMIC_PYRAMID
Микола Леміш,Володимир Коротя,2,3,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,quarterfinal,DYNAMIC_PYRAMID
Максим Росул,Віталій Мельзаковський,3,0,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,quarterfinal,DYNAMIC_PYRAMID
Сергій Король,Артур Зелінко,1,3,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,quarterfinal,DYNAMIC_PYRAMID
Микола Шикітка,Марія Левківська,3,0,"Кубок Закарпатської області ""Динамічна піраміда"" 2025",2025-11-08,quarterfinal,DYNAMIC_PYRAMID
Микола Шикітка,Михайло Сличко,3,1,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,final,COMBINED_PYRAMID_CHANGES
Микола Шикітка,Стефанія Церковник,3,1,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,semifinal,COMBINED_PYRAMID_CHANGES
Михайло Сличко,Артур Зелінко,3,1,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,semifinal,COMBINED_PYRAMID_CHANGES
Микола Шикітка,Микола Качур,3,1,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,quarterfinal,COMBINED_PYRAMID_CHANGES
Максим Росул,Стефанія Церковник,2,3,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,quarterfinal,COMBINED_PYRAMID_CHANGES
Михайло Сличко,Сергій Бреславець,3,0,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,quarterfinal,COMBINED_PYRAMID_CHANGES
Артур Зелінко,Олександр Грін,3,0,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,quarterfinal,COMBINED_PYRAMID_CHANGES
Іван Смочков,Роман Церковник,1,3,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Олександр Грін,Сергій Бреславець,3,2,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Сергій Вітерець,Олексій Проскурін,0,3,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Іван Боршош,Олексій Бамбушкар,0,3,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Микола Качур,Віктор Загуменний,3,1,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Андрій Синичка,Роман Чийпеш,1,3,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Микола Леміш,Віктор Дейнеко,3,1,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Євген Кравчак,Денис Панкович,3,0,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Віталій Мельзаковський,"Мар""ян Матіїшин",2,3,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Олександр Лизанець,Володимир Шикітка,3,1,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Микола Шикітка,Роман Церковник,3,2,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Олександр Грін,Олексій Проскурін,3,0,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Євген Драгула,Олексій Бамбушкар,3,0,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Микола Качур,Максим Росул,1,3,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Стефанія Церковник,Роман Чийпеш,3,0,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Микола Леміш,Михайло Сличко,0,3,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Євген Кравчак,"Мар""ян Матіїшин",3,0,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Олександр Лизанець,Артур Зелінко,0,3,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Микола Шикітка,Олександр Грін,3,0,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Євген Драгула,Максим Росул,2,3,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Стефанія Церковник,Михайло Сличко,1,3,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Євген Кравчак,Артур Зелінко,0,3,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Сергій Бреславець,Сергій Вітерець,2,0,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Денис Панкович,Віталій Мельзаковський,0,2,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Іван Смочков,Олександр Лизанець,0,2,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Сергій Бреславець,"Мар""ян Матіїшин",2,1,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Іван Боршош,Микола Леміш,0,3,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Віктор Загуменний,Роман Чийпеш,2,1,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Андрій Синичка,Микола Качур,0,2,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Віктор Дейнеко,Олексій Бамбушкар,3,0,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Віталій Мельзаковський,Олексій Проскурін,0,2,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Володимир Шикітка,Роман Церковник,1,2,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Олександр Лизанець,Сергій Бреславець,0,2,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Микола Леміш,Віктор Загуменний,2,0,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Микола Качур,Віктор Дейнеко,2,1,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Олексій Проскурін,Роман Церковник,2,0,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Сергій Бреславець,Євген Драгула,2,1,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Микола Леміш,Олександр Грін,1,2,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Микола Качур,Євген Кравчак,2,0,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Олексій Проскурін,Стефанія Церковник,0,2,Чемпіонат Закарпатської області 2025 комбінована піраміда зі змінами,2025-11-29,group,COMBINED_PYRAMID_CHANGES
Олексій Проскурін,Максим Росул,1,3,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,final,COMBINED_PYRAMID_CHANGES
Василь Єгоров,Олексій Проскурін,0,3,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,semifinal,COMBINED_PYRAMID_CHANGES
Максим Росул,"Мар""ян Матіїшин",3,1,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,semifinal,COMBINED_PYRAMID_CHANGES
Володимир Коротя,Олександр Кодриш,3,0,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,group,COMBINED_PYRAMID_CHANGES
Василь Єгоров,Іван Смочков,3,0,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,group,COMBINED_PYRAMID_CHANGES
"Мар""ян Матіїшин",Володимир Таранчук,3,0,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,group,COMBINED_PYRAMID_CHANGES
Іван Боршош,Олексій Проскурін,2,3,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,group,COMBINED_PYRAMID_CHANGES
Олександр Грін,Віктор Дейнеко,2,3,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,group,COMBINED_PYRAMID_CHANGES
Богдан Порох,Роман Чийпеш,2,3,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,group,COMBINED_PYRAMID_CHANGES
Роман Церковник,Віктор Загуменний,3,1,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,group,COMBINED_PYRAMID_CHANGES
Ігор Кузьмін,Максим Росул,1,3,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,group,COMBINED_PYRAMID_CHANGES
Володимир Коротя,Василь Єгоров,2,3,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,group,COMBINED_PYRAMID_CHANGES
"Мар""ян Матіїшин",Олексій Проскурін,3,0,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,group,COMBINED_PYRAMID_CHANGES
Віктор Дейнеко,Роман Чийпеш,1,3,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,group,COMBINED_PYRAMID_CHANGES
Роман Церковник,Максим Росул,1,3,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,group,COMBINED_PYRAMID_CHANGES
Василь Єгоров,"Мар""ян Матіїшин",3,0,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,group,COMBINED_PYRAMID_CHANGES
Роман Чийпеш,Максим Росул,1,3,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,group,COMBINED_PYRAMID_CHANGES
Олександр Кодриш,Іван Смочков,0,2,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,group,COMBINED_PYRAMID_CHANGES
Володимир Таранчук,Іван Боршош,2,0,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,group,COMBINED_PYRAMID_CHANGES
Олександр Грін,Богдан Порох,1,2,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,group,COMBINED_PYRAMID_CHANGES
Віктор Загуменний,Ігор Кузьмін,2,0,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,group,COMBINED_PYRAMID_CHANGES
Іван Смочков,Роман Церковник,0,2,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,group,COMBINED_PYRAMID_CHANGES
Володимир Таранчук,Віктор Дейнеко,2,0,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,group,COMBINED_PYRAMID_CHANGES
Богдан Порох,Олексій Проскурін,0,2,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,group,COMBINED_PYRAMID_CHANGES
Віктор Загуменний,Володимир Коротя,0,2,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,group,COMBINED_PYRAMID_CHANGES
Роман Церковник,Володимир Таранчук,1,2,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,group,COMBINED_PYRAMID_CHANGES
Олексій Проскурін,Володимир Коротя,2,0,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,group,COMBINED_PYRAMID_CHANGES
Володимир Таранчук,"Мар""ян Матіїшин",1,2,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,group,COMBINED_PYRAMID_CHANGES
Олексій Проскурін,Роман Чийпеш,3,0,Кубок м.Ужгород 2025 комбінована піраміда зі змінами,2025-12-07,group,COMBINED_PYRAMID_CHANGES
Олександр Кулик,Роман Качур,3,2,Buffalo game 2025 клубна ліга 5 етап,2025-12-20,final,
Олександр Кулик,Володимир Коротя,3,2,Buffalo game 2025 клубна ліга 5 етап,2025-12-20,semifinal,
Максим Росул,Роман Качур,2,3,Buffalo game 2025 клубна ліга 5 етап,2025-12-20,semifinal,
Олександр Кулик,Віктор Дейнеко,3,0,Buffalo game 2025 клубна ліга 5 етап,2025-12-20,quarterfinal,
Євген Кравчак,Володимир Коротя,2,3,Buffalo game 2025 клубна ліга 5 етап,2025-12-20,quarterfinal,
Максим Росул,Олександр Грін,3,1,Buffalo game 2025 клубна ліга 5 етап,2025-12-20,quarterfinal,
Стефанія Церковник,Роман Качур,2,3,Buffalo game 2025 клубна ліга 5 етап,2025-12-20,quarterfinal,
Олександр Кодриш,Олександр Кулик,0,3,Buffalo game 2025 клубна ліга 5 етап,2025-12-20,group,
Роман Качур,Віктор Дейнеко,3,0,Buffalo game 2025 клубна ліга 5 етап,2025-12-20,group,
Ігор Кузьмін,Сергій Максюта,3,0,Buffalo game 2025 клубна ліга 5 етап,2025-12-20,group,
Володимир Коротя,Олександр Кулик,2,3,Buffalo game 2025 клубна ліга 5 етап,2025-12-20,group,
Віктор Загуменний,Роман Церковник,3,0,Buffalo game 2025 клубна ліга 5 етап,2025-12-20,group,
Олександр Грін,Роман Гурчумелія,3,2,Buffalo game 2025 клубна ліга 5 етап,2025-12-20,group,
Володимир Таранчук,Євген Кравчак,1,3,Buffalo game 2025 клубна ліга 5 етап,2025-12-20,group,
Максим Росул,Роман Качур,3,2,Buffalo game 2025 клубна ліга 5 етап,2025-12-20,group,
Богдан Порох,Олексій Проскурін,3,0,Buffalo game 2025 клубна ліга 5 етап,2025-12-20,group,
Олексій Бамбушкар,Олександр Шевелюк,1,3,Buffalo game 2025 клубна ліга 5 етап,2025-12-20,group,
